RUN	com.gatling.demo.api.CrudApiTest	crudapitest	1681571474489	 	3.3.1
USER	UPDATE User API	35	END	1681571478866	1681571480096
USER	UPDATE User API	43	START	1681571480265	1681571480265
REQUEST	42		Update User	1681571480066	1681571480283	OK	 
USER	UPDATE User API	36	END	1681571479066	1681571480296
REQUEST	43		Update User	1681571480266	1681571480480	OK	 
USER	UPDATE User API	37	END	1681571479265	1681571480505
USER	POST User API	33	END	1681571479465	1681571480705
USER	DELETE User API	39	END	1681571479466	1681571480705
USER	UPDATE User API	38	END	1681571479466	1681571480715
USER	UPDATE User API	40	END	1681571479665	1681571480896
USER	UPDATE User API	41	END	1681571479865	1681571481106
USER	UPDATE User API	42	END	1681571480065	1681571481296
USER	POST User API	44	START	1681571481466	1681571481466
USER	UPDATE User API	43	END	1681571480265	1681571481495
REQUEST	44		Create User	1681571481467	1681571481692	OK	 
USER	POST User API	45	START	1681571482466	1681571482466
REQUEST	45		Create User	1681571482466	1681571482692	OK	 
USER	POST User API	44	END	1681571481466	1681571482705
USER	POST User API	46	START	1681571483456	1681571483456
REQUEST	46		Create User	1681571483457	1681571483670	OK	 
USER	POST User API	45	END	1681571482466	1681571483706
USER	POST User API	47	START	1681571484465	1681571484465
USER	POST User API	46	END	1681571483456	1681571484686
REQUEST	47		Create User	1681571484466	1681571484688	OK	 
USER	POST User API	48	START	1681571485465	1681571485465
REQUEST	48		Create User	1681571485466	1681571485679	OK	 
USER	POST User API	47	END	1681571484465	1681571485705
USER	POST User API	48	END	1681571485465	1681571486696
